19940101,7
19940102,115
19940103,37
19940104,47
19940105,74
19940106,60
19940107,0
19940108,0
19940109,0
19940110,0
19940111,10
19940112,112
19940113,22
19940114,16
19940115,0
19940116,0
19940117,0
19940118,0
19940119,122
19940120,0
19940121,0
19940122,96
19940123,87
19940124,0
19940125,57
19940126,41
19940127,47
19940128,24
19940129,42
19940130,29
19940131,0
19940201,26
19940202,0
19940203,61
19940204,0
19940205,0
19940206,0
19940207,46
19940208,14
19940209,27
19940210,39
19940211,0
19940212,0
19940213,0
19940214,0
19940215,0
19940216,0
19940217,0
19940218,0
19940219,0
19940220,0
19940221,0
19940222,30
19940223,13
19940224,92
19940225,0
19940226,0
19940227,65
19940228,75
19940301,5
19940302,57
19940303,22
19940304,0
19940305,22
19940306,0
19940307,28
19940308,0
19940309,7
19940310,0
19940311,0
19940312,15
19940313,57
19940314,4
19940315,158
19940316,9
19940317,20
19940318,86
19940319,59
19940320,0
19940321,0
19940322,48
19940323,9
19940324,20
19940325,132
19940326,14
19940327,0
19940328,35
19940329,0
19940330,0
19940331,58
19940401,105
19940402,31
19940403,21
19940404,182
19940405,33
19940406,21
19940407,59
19940408,59
19940409,38
19940410,21
19940411,0
19940412,0
19940413,0
19940414,70
19940415,52
19940416,0
19940417,0
19940418,0
19940419,0
19940420,0
19940421,0
19940422,0
19940423,0
19940424,23
19940425,20
19940426,21
19940427,17
19940428,0
19940429,0
19940430,0
19940501,0
19940502,0
19940503,0
19940504,16
19940505,27
19940506,155
19940507,0
19940508,69
19940509,0
19940510,0
19940511,0
19940512,0
19940513,0
19940514,51
19940515,40
19940516,17
19940517,33
19940518,0
19940519,0
19940520,76
19940521,44
19940522,21
19940523,0
19940524,8
19940525,56
19940526,17
19940527,9
19940528,61
19940529,0
19940530,0
19940531,0
19940601,0
19940602,68
19940603,39
19940604,193
19940605,10
19940606,57
19940607,13
19940608,31
19940609,44
19940610,36
19940611,12
19940612,0
19940613,0
19940614,0
19940615,0
19940616,65
19940617,0
19940618,0
19940619,0
19940620,15
19940621,14
19940622,9
19940623,0
19940624,0
19940625,13
19940626,0
19940627,0
19940628,0
19940629,0
19940630,0
19940701,0
19940702,0
19940703,0
19940704,0
19940705,0
19940706,0
19940707,52
19940708,0
19940709,0
19940710,0
19940711,0
19940712,0
19940713,0
19940714,31
19940715,0
19940716,0
19940717,0
19940718,0
19940719,0
19940720,0
19940721,0
19940722,0
19940723,0
19940724,0
19940725,13
19940726,0
19940727,0
19940728,7
19940729,0
19940730,0
19940731,18
19940801,32
19940802,0
19940803,0
19940804,0
19940805,0
19940806,0
19940807,0
19940808,0
19940809,0
19940810,13
19940811,25
19940812,83
19940813,0
19940814,0
19940815,0
19940816,0
19940817,53
19940818,44
19940819,0
19940820,,0
19940821,0
19940822,,0
19940823,0
19940824,31
19940825,5
19940826,12
19940827,28
19940828,0
19940829,31
19940830,36
19940831,29
19940901,11
19940902,46
19940903,52
19940904,50
19940905,51
19940906,13
19940907,6
19940908,19
19940909,28
19940910,46
19940911,44
19940912,48
19940913,0
19940914,97
19940915,126
19940916,131
19940917,122
19940918,13
19940919,12
19940920,149
19940921,0
19940922,0
19940923,0
19940924,28
19940925,0
19940926,0
19940927,0
19940928,0
19940929,0
19940930,0
19941001,70
19941002,28
19941003,129
19941004,99
19941005,29
19941006,0
19941007,0
19941008,9
19941009,0
19941010,0
19941011,0
19941012,0
19941013,0
19941014,0
19941015,0
19941016,0
19941017,0
19941018,0
19941019,0
19941020,0
19941021,0
19941022,39
19941023,19
19941024,7
19941025,57
19941026,83
19941027,21
19941028,18
19941029,56
19941030,181
19941031,129
19941101,0
19941102,0
19941103,0
19941104,0
19941105,0
19941106,0
19941107,28
19941108,0
19941109,14
19941110,86
19941111,48
19941112,34
19941113,44
19941114,87
19941115,2
19941116,0
19941117,46
19941118,43
19941119,12
19941120,31
19941121,0
19941122,0
19941123,0
19941124,17
19941125,0
19941126,20
19941127,4
19941128,0
19941129,0
19941130,0
19941201,0
19941202,0
19941203,26
19941204,16
19941205,12
19941206,0
19941207,32
19941208,116
19941209,22
19941210,25
19941211,0
19941212,0
19941213,62
19941214,6
19941215,0
19941216,8
19941217,6
19941218,43
19941219,10
19941220,3
19941221,9
19941222,0
19941223,0
19941224,0
19941225,19
19941226,63
19941227,215
19941228,112
19941229,100
19941230,76
19941231,37
19950101,84
