20161101,8.1,4.0,13.8
20161102,7.2,2.2,11.7
20161103,6.7,0.8,12.0
20161104,7.6,6.3,9.7
20161105,6.9,4.9,10.8
20161106,6.1,2.4,9.3
20161107,4.2,-0.1,5.7
20161108,1.9,-2.9,5.6
20161109,3.0,0.5,4.3
20161110,4.0,3.1,5.2
20161111,1.8,-3.1,5.8
20161112,2.0,-3.3,5.0
20161113,2.7,-1.0,4.7
20161114,3.1,-2.3,6.9
20161115,10.8,6.9,12.9
20161116,11.9,9.3,14.2
20161117,9.3,7.6,11.5
20161118,6.0,3.2,8.2
20161119,5.8,4.0,8.1
20161120,8.4,4.8,12.5
20161121,12.0,8.1,13.9
20161122,11.0,6.5,14.2
20161123,7.9,3.7,11.1
20161124,6.6,3.0,8.7
20161125,3.3,-0.6,8.4
20161126,-0.1,-2.6,3.6
20161127,5.6,-1.0,9.4
20161128,-0.3,-4.1,4.2
20161129,-3.1,-7.0,4.3
20161130,2.0,-7.0,6.8
